epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,3820.7,1.16733,0.92149,1.12368,0.47326,0.52296,0.4785,0.30728,1.14964,0.86004,1.01951,0.00604,0.00604,0.00604
122,3851.75,1.16942,0.9209,1.12229,0.4781,0.5489,0.4806,0.30758,1.15906,0.87592,1.02751,0.006007,0.006007,0.006007
123,3882.97,1.171,0.92027,1.12355,0.53069,0.4826,0.50306,0.3124,1.15832,0.85559,1.02264,0.005974,0.005974,0.005974
124,3914.36,1.16993,0.92351,1.12069,0.50233,0.4803,0.49151,0.31695,1.15174,0.86,1.01924,0.005941,0.005941,0.005941
125,3945.75,1.1662,0.91716,1.12068,0.51659,0.47446,0.49101,0.31507,1.15775,0.85974,1.02053,0.005908,0.005908,0.005908
126,3977.31,1.16565,0.91445,1.12078,0.52312,0.52811,0.50342,0.32101,1.15245,0.8546,1.01869,0.005875,0.005875,0.005875
127,4008.67,1.16041,0.91276,1.1192,0.50475,0.51557,0.50823,0.32849,1.13986,0.849,1.01509,0.005842,0.005842,0.005842
128,4040.75,1.17091,0.9249,1.12129,0.46139,0.53988,0.50385,0.3228,1.15036,0.85711,1.01638,0.005809,0.005809,0.005809
129,4071.94,1.1661,0.91636,1.12225,0.58855,0.46694,0.51634,0.33512,1.14554,0.85233,1.01921,0.005776,0.005776,0.005776
130,4102.93,1.16594,0.91573,1.1214,0.5704,0.48458,0.51361,0.32832,1.15741,0.85944,1.0215,0.005743,0.005743,0.005743
131,4133.83,1.15849,0.91134,1.11957,0.46886,0.52704,0.51533,0.32467,1.15658,0.85643,1.01985,0.00571,0.00571,0.00571
132,4164.93,1.15786,0.90884,1.11794,0.54495,0.49044,0.51775,0.32989,1.14459,0.85245,1.01655,0.005677,0.005677,0.005677
133,4196.21,1.16053,0.90771,1.11898,0.53351,0.50948,0.51179,0.32928,1.13943,0.84598,1.01716,0.005644,0.005644,0.005644
134,4227.38,1.16434,0.90909,1.11637,0.53153,0.46706,0.48871,0.30927,1.15171,0.85558,1.02048,0.005611,0.005611,0.005611
135,4258.34,1.1559,0.90592,1.1153,0.51727,0.49979,0.50811,0.32274,1.14986,0.85676,1.02019,0.005578,0.005578,0.005578
136,4289.47,1.15627,0.90735,1.11345,0.54143,0.50661,0.51195,0.32263,1.1447,0.84733,1.01678,0.005545,0.005545,0.005545
137,4320.38,1.14752,0.90424,1.11168,0.4965,0.54493,0.50516,0.32117,1.15028,0.84556,1.01856,0.005512,0.005512,0.005512
138,4351.61,1.15112,0.90016,1.11375,0.47361,0.55834,0.49941,0.32009,1.15188,0.8515,1.01899,0.005479,0.005479,0.005479
139,4382.93,1.15089,0.90633,1.11699,0.55186,0.52951,0.51841,0.33425,1.14308,0.85584,1.0142,0.005446,0.005446,0.005446
140,4413.78,1.15826,0.9127,1.11753,0.48905,0.52701,0.50281,0.32324,1.14394,0.86085,1.0154,0.005413,0.005413,0.005413
141,4444.9,1.15753,0.90977,1.11381,0.55098,0.46169,0.49837,0.32174,1.15276,0.85417,1.01775,0.00538,0.00538,0.00538
142,4475.94,1.15616,0.90858,1.11577,0.50635,0.51376,0.5016,0.32894,1.14182,0.85046,1.01646,0.005347,0.005347,0.005347
